# Vega (Alpha Lyrae), CALSPEC alpha_lyr_stis_012.fits
# Source: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/current_calspec/alpha_lyr_stis_012.fits
# wavelength_nm,flux_W_m-2_nm-1
206.298657,5.336000086e-11
206.436060,5.380799806e-11
206.573462,5.332600139e-11
206.710840,5.321100005e-11
206.848242,5.400199843e-11
206.985644,5.463399955e-11
207.123047,5.473700160e-11
207.260449,5.434400041e-11
207.397852,5.457100105e-11
207.535254,5.536100023e-11
207.672656,5.595199859e-11
207.810059,5.599900099e-11
207.947461,5.538900005e-11
208.084888,5.521100022e-11
208.222290,5.579699813e-11
208.359692,5.573800088e-11
208.497095,5.529200209e-11
208.634497,5.566000105e-11
208.771899,5.554099847e-11
208.909326,5.534300129e-11
209.046729,5.486299859e-11
209.184131,5.512499790e-11
209.321558,5.464400044e-11
209.458960,5.373999912e-11
209.596362,5.400099923e-11
209.733789,5.365400124e-11
209.871191,5.404499959e-11
210.008618,5.447299944e-11
210.146020,5.377499779e-11
210.283423,5.392700064e-11
210.420850,5.391199931e-11
210.558252,5.489699806e-11
210.695679,5.428499872e-11
